ID,Model_year,Memory_GB,Storage_GB,Storage_type,Memory_type,Grade,Screen_size,Touch_screen,Price_euro
106,2019.0,8,512,SSD,DDR4,C,"15""",No,455.0
107,2018.0,8,2000,HDD,DDR4,A,"14""",No,505.0
108,2018.0,8,128,SSD,DDR4,A,"14""",No,445.0
109,2020.0,32,256,SSD,DDR4,C,"12""",No,905.0
110,2020.0,8,256,SSD,DDR4,C,"12""",No,375.0
111,2021.0,32,512,SSD,DDR4,A,"12""",No,1315.0
112,2019.0,16,128,SSD,DDR4,C,"15""",No,645.0
113,2021.0,8,2000,SSD,DDR4,C,"15""",No,585.0
114,2020.0,8,512,SSD,DDR4,C,"14""",Yes,565.0
115,2016.0,16,256,SSD,DDR4,A,"14""",No,715.0
116,2017.0,8,1024,SSD,DDR4,C,"12""",No,455.0
117,2020.0,4,512,HDD,DDR4,C,"14""",No,325.0
118,2018.0,16,256,HDD,DDR4,,"15""",No,725.0
119,2018.0,8,256,SSD,DDR4,C,"15""",No,415.0
120,2015.0,8,512,SSD,DDR3,C,"15""",No,375.0
121,2017.0,16,256,HDD,DDR4,C,"15""",No,645.0
122,2019.0,4,256,SSD,DDR4,A,"12""",No,335.0
123,2019.0,4,120,HDD,DDR4,A,"15""",No,385.0
124,2022.0,8,512,HDD,DDR4,A,"12""",No,465.0
125,2020.0,16,128,SSD,DDR4,A,"12""",No,595.0
126,2020.0,16,512,SSD,DDR4,C,"12""",No,575.0
127,2019.0,8,120,SSD,DDR4,C,"15""",No,435.0
128,2022.0,32,256,SSD,DDR4,C,"15""",No,1035.0
129,2017.0,8,512,HDD,DDR4,C,"15""",No,395.0
130,2016.0,32,256,HDD,DDR4,C,"15""",No,875.0
131,2018.0,8,128,SSD,DDR4,C,"15""",No,475.0
132,2015.0,8,512,SSD,DDR3,C,"15""",No,425.0
133,2019.0,4,256,SSD,DDR4,C,"12""",No,285.0
134,2019.0,16,512,SSD,DDR4,A,"15""",No,735.0
135,2020.0,8,256,SSD,DDR4,C,"12""",Yes,425.0
136,2019.0,32,512,SSD,DDR4,C,"16""",No,925.0
137,2019.0,8,512,SSD,DDR4,A,"12""",No,405.0
138,2024.0,8,256,SSD,DDR4,A,"14""",No,505.0
139,2019.0,8,256,SSD,DDR4,C,"14""",No,375.0
140,2019.0,12,128,SSD,DDR4,A,"14""",No,585.0
141,2021.0,8,256,HDD,DDR4,B,"15""",No,525.0
142,2019.0,16,120,SSD,DDR4,C,"15""",No,675.0
143,2019.0,8,256,SSD,DDR4,C,"14""",No,415.0
144,2021.0,8,1024,SSD,DDR4,B,"16""",No,595.0
145,2015.0,8,128,SSD,DDR3,C,"15""",No,405.0
146,2019.0,8,256,SSD,DDR4,C,"15""",No,435.0
147,2023.0,12,512,HDD,DDR4,A,"14""",No,655.0
148,2021.0,8,256,HDD,DDR4,A,"12""",No,435.0
149,2019.0,16,256,SSD,DDR4,B,"14""",No,715.0
150,2019.0,4,256,SSD,DDR4,A,"12""",No,265.0
151,2020.0,8,128,SSD,DDR4,A,"14""",No,565.0
152,2014.0,16,2000,SSD,DDR3,C,"12""",No,585.0
153,2020.0,4,512,SSD,DDR4,C,"12""",No,275.0
154,2019.0,16,2000,SSD,DDR4,A,"14""",No,855.0
155,2017.0,16,256,HDD,DDR4,A,"12""",No,695.0
156,2020.0,8,256,SSD,DDR4,A,"14""",No,555.0
157,2016.0,6,128,SSD,DDR4,C,"14""",No,315.0
158,2021.0,32,512,SSD,DDR4,C,"12""",Yes,1185.0
159,2021.0,8,256,SSD,DDR4,C,"14""",Yes,575.0
160,2022.0,8,128,HDD,DDR4,C,"15""",No,425.0
161,2021.0,8,256,SSD,DDR4,A,"16""",No,625.0
162,2019.0,8,128,SSD,DDR4,B,"14""",No,415.0
163,2018.0,32,256,HDD,DDR4,C,"15""",No,1005.0
164,2021.0,8,256,SSD,DDR4,C,"14""",No,495.0
165,2018.0,4,256,SSD,DDR4,A,"15""",No,415.0
166,2022.0,16,256,SSD,DDR4,B,"12""",No,605.0
167,2023.0,8,128,SSD,DDR4,B,"14""",No,465.0
168,2019.0,16,512,SSD,DDR4,A,"12""",No,835.0
169,2017.0,12,120,HDD,DDR4,C,"12""",No,455.0
170,2020.0,8,512,SSD,DDR4,A,"15""",No,445.0
171,2019.0,8,128,HDD,DDR4,C,"14""",No,315.0
172,2023.0,8,1024,HDD,DDR4,A,"14""",No,555.0
173,2019.0,12,2000,SSD,DDR4,B,"15""",No,615.0
174,2018.0,8,256,SSD,DDR4,C,"15""",No,495.0
175,2021.0,8,128,SSD,DDR4,C,"12""",No,445.0
176,2016.0,4,1024,SSD,DDR4,C,"14""",No,405.0
177,2015.0,16,512,HDD,DDR3,C,"12""",No,425.0
178,2019.0,32,512,HDD,DDR4,C,"15""",No,955.0
179,2016.0,8,128,HDD,DDR4,C,"15""",No,395.0
180,2023.0,32,512,SSD,DDR4,B,"15""",Yes,1325.0
181,2019.0,8,256,SSD,DDR4,B,"15""",No,445.0
182,2020.0,12,1024,HDD,DDR4,C,"15""",No,495.0
183,2018.0,16,512,HDD,DDR4,B,"15""",No,745.0
184,2021.0,32,256,SSD,DDR4,B,"16""",Yes,1025.0
185,2020.0,6,512,SSD,DDR4,C,"15""",No,415.0
186,2021.0,8,512,SSD,DDR4,C,"14""",Yes,455.0
187,2024.0,6,256,HDD,DDR4,A,"14""",No,395.0
188,2021.0,32,256,HDD,DDR4,A,"12""",No,1235.0
189,2017.0,8,256,HDD,DDR4,C,"15""",No,365.0
190,2020.0,8,120,SSD,DDR4,A,"16""",No,455.0
191,2016.0,4,256,SSD,DDR4,C,"14""",No,355.0
192,2017.0,16,256,HDD,DDR4,A,"12""",No,565.0
193,2021.0,4,1024,SSD,DDR4,C,"15""",No,375.0
194,2017.0,8,1024,HDD,DDR4,C,"12""",No,345.0
195,2020.0,8,128,SSD,DDR4,C,"14""",No,455.0
196,2016.0,8,512,HDD,DDR4,C,"15""",No,375.0
197,2017.0,8,512,HDD,DDR4,C,"15""",No,475.0
198,,8,256,SSD,DDR4,C,"12""",Yes,425.0
199,2022.0,12,128,SSD,DDR4,A,"14""",No,565.0
200,2014.0,8,256,HDD,DDR3,C,"14""",No,305.0
201,2018.0,8,256,SSD,DDR4,C,"14""",No,435.0
202,2017.0,8,512,HDD,DDR4,C,"14""",No,405.0
203,2017.0,16,120,HDD,DDR4,A,"14""",No,735.0
204,2020.0,8,256,SSD,DDR4,B,"12""",No,325.0
205,2018.0,32,1024,SSD,DDR4,C,"12""",No,845.0
206,2022.0,16,256,SSD,DDR4,C,"15""",No,635.0
207,,16,512,SSD,DDR4,A,"14""",Yes,755.0
208,2015.0,4,256,HDD,DDR3,C,"14""",No,255.0
209,2017.0,8,512,HDD,DDR4,C,"15""",No,415.0
210,2018.0,16,128,SSD,DDR4,C,"14""",No,525.0
211,2019.0,16,512,SSD,DDR4,A,"14""",No,735.0
212,2018.0,8,2000,HDD,DDR4,C,"15""",No,485.0
213,2019.0,32,512,SSD,DDR4,C,"15""",No,1075.0
214,2018.0,4,512,SSD,DDR4,C,"14""",No,285.0
215,2018.0,32,512,SSD,DDR4,C,"12""",No,1135.0
216,2021.0,8,256,SSD,DDR4,A,"15""",No,565.0
217,2018.0,8,128,SSD,DDR4,C,"15""",No,485.0
218,2017.0,16,256,HDD,DDR4,A,"15""",No,705.0
219,2018.0,8,256,SSD,DDR4,B,"15""",No,515.0
220,2021.0,4,512,HDD,DDR4,,"14""",No,455.0
221,2018.0,8,256,HDD,DDR4,C,"15""",No,425.0
222,2020.0,16,256,HDD,DDR4,B,"15""",Yes,825.0
223,2020.0,32,256,HDD,DDR4,C,"12""",No,915.0
224,2014.0,16,256,HDD,DDR3,C,"15""",No,405.0
225,2021.0,8,512,SSD,DDR4,C,"15""",No,475.0
226,2020.0,8,256,SSD,DDR4,A,"15""",Yes,575.0
227,2021.0,8,2000,SSD,DDR4,A,"14""",No,515.0
228,2019.0,16,512,HDD,DDR4,C,"15""",No,665.0
229,2019.0,4,256,SSD,DDR4,A,"14""",No,315.0
230,2016.0,8,128,HDD,DDR4,C,"15""",No,425.0
231,2022.0,16,256,SSD,DDR4,B,"15""",No,705.0
232,2020.0,8,512,SSD,DDR4,A,"14""",No,565.0
233,2018.0,4,256,SSD,DDR4,C,"14""",No,315.0
234,2019.0,6,512,SSD,DDR4,B,"15""",No,475.0
235,2016.0,4,512,SSD,DDR4,C,"15""",No,395.0
236,2019.0,12,512,SSD,DDR4,C,"14""",No,435.0
237,2020.0,8,2000,SSD,DDR4,C,"14""",No,455.0
238,2018.0,16,512,SSD,DDR4,C,"14""",No,595.0
239,2019.0,4,1024,SSD,DDR4,C,"14""",No,405.0
240,2020.0,4,256,SSD,DDR4,A,"12""",No,285.0
241,2020.0,4,256,SSD,DDR4,A,"12""",No,295.0
242,2021.0,16,256,SSD,DDR4,A,"14""",No,745.0
243,2021.0,16,512,SSD,DDR4,C,"14""",Yes,725.0
244,2021.0,8,2000,SSD,DDR4,C,"12""",Yes,605.0
245,2019.0,32,256,SSD,DDR4,C,"15""",No,955.0
246,2021.0,8,256,SSD,DDR4,A,"14""",No,555.0
247,2019.0,32,256,SSD,DDR4,A,"14""",No,1265.0
248,2021.0,8,1024,SSD,DDR4,A,"12""",No,525.0
249,2020.0,8,512,SSD,DDR4,C,"15""",Yes,515.0
250,2021.0,12,512,SSD,DDR4,A,"14""",Yes,575.0
251,2021.0,8,512,SSD,DDR4,C,"14""",No,445.0
252,2021.0,16,256,SSD,DDR4,A,"14""",Yes,705.0
253,2020.0,4,256,SSD,DDR4,C,"15""",No,415.0
254,2019.0,4,256,SSD,DDR4,A,"16""",No,435.0
255,2017.0,8,128,SSD,DDR4,C,"15""",No,345.0
256,2019.0,16,120,SSD,DDR4,A,"15""",No,745.0
257,2018.0,8,256,SSD,DDR4,C,"15""",No,395.0
258,2019.0,16,2000,SSD,DDR4,A,"14""",No,745.0
259,2020.0,32,120,SSD,DDR4,B,"14""",Yes,995.0
260,2020.0,8,512,SSD,DDR4,A,"12""",No,545.0
261,2020.0,8,1024,SSD,DDR4,A,"12""",No,535.0
262,2019.0,8,2000,SSD,DDR4,C,"15""",No,535.0
263,2018.0,8,512,SSD,DDR4,C,"12""",No,385.0
264,2019.0,8,1024,SSD,DDR4,B,"14""",No,525.0
265,2021.0,32,512,SSD,DDR4,C,"16""",Yes,1295.0
266,2019.0,8,128,HDD,DDR4,C,"14""",No,425.0
267,2017.0,32,512,SSD,DDR4,C,"12""",No,1045.0
268,2018.0,8,512,SSD,DDR4,C,"15""",No,455.0
269,2016.0,8,128,HDD,DDR4,C,"14""",No,395.0
270,2019.0,8,128,SSD,DDR4,C,"15""",No,495.0
271,2023.0,16,256,SSD,DDR4,C,"12""",No,525.0
272,2017.0,4,256,HDD,DDR4,C,"15""",No,395.0
273,2022.0,4,512,HDD,DDR4,A,"12""",No,345.0
274,2019.0,16,512,SSD,DDR4,B,"12""",No,685.0
275,2018.0,8,256,HDD,DDR4,C,"15""",No,375.0
276,2017.0,16,128,SSD,DDR4,C,"15""",No,675.0
277,2017.0,8,256,SSD,DDR4,C,"14""",No,435.0
278,2019.0,8,256,SSD,DDR4,A,"14""",No,555.0
279,2020.0,16,512,SSD,DDR4,C,"12""",No,715.0
280,2024.0,4,128,SSD,DDR4,A,"16""",No,485.0
281,2018.0,8,1024,SSD,DDR4,B,"12""",No,545.0
282,2022.0,16,1024,SSD,DDR4,A,"14""",No,765.0
283,2017.0,8,512,SSD,DDR4,B,"14""",No,465.0
284,2022.0,16,512,SSD,DDR4,C,"14""",No,495.0
285,2017.0,6,512,SSD,DDR4,C,"15""",No,465.0
286,2018.0,8,512,SSD,DDR4,C,"14""",No,385.0
287,2019.0,16,128,HDD,DDR4,A,"12""",No,765.0
288,2021.0,8,512,SSD,DDR4,C,"14""",No,385.0
289,2016.0,16,256,HDD,DDR4,C,"14""",No,645.0
290,2016.0,16,256,HDD,DDR4,C,"12""",No,535.0
291,2016.0,32,256,SSD,DDR4,C,"12""",No,1055.0
292,2018.0,16,512,SSD,DDR4,A,"12""",No,685.0
293,2022.0,16,128,SSD,DDR4,B,"16""",No,795.0
294,2019.0,32,512,SSD,DDR4,B,"16""",No,1095.0
295,2020.0,4,256,SSD,DDR4,C,"15""",No,355.0
296,2019.0,6,256,SSD,DDR4,A,"15""",No,435.0
297,2022.0,32,1024,SSD,DDR4,A,"12""",No,1275.0
298,2023.0,4,256,HDD,DDR4,A,"12""",No,295.0
299,2018.0,16,256,SSD,DDR4,A,"15""",No,775.0
300,2018.0,12,120,SSD,DDR4,C,"12""",No,385.0
301,2019.0,8,128,SSD,DDR4,C,"14""",No,445.0
302,2017.0,8,512,HDD,DDR4,A,"14""",No,535.0
303,,4,256,SSD,DDR4,B,"15""",No,365.0
304,2016.0,32,256,SSD,DDR4,C,"14""",No,1075.0
305,2020.0,16,512,SSD,DDR4,A,"15""",No,905.0
306,2016.0,16,256,SSD,DDR4,C,"14""",No,625.0
307,2015.0,12,256,HDD,DDR3,C,"14""",No,365.0
308,2016.0,4,256,HDD,DDR4,C,"14""",No,325.0
309,2017.0,8,512,HDD,DDR4,C,"14""",No,415.0
310,2023.0,8,512,SSD,DDR4,B,"12""",No,375.0
311,2020.0,8,128,SSD,DDR4,B,"16""",No,515.0
312,2023.0,32,120,SSD,DDR4,B,"14""",No,1055.0
313,2017.0,16,256,SSD,DDR4,C,"12""",No,465.0
314,2018.0,16,1024,SSD,DDR4,C,"15""",No,625.0
315,2019.0,16,512,HDD,DDR4,B,"12""",No,645.0
316,2018.0,8,512,SSD,DDR4,C,"15""",No,435.0
317,2018.0,12,512,HDD,DDR4,C,"14""",No,565.0
318,2016.0,6,120,SSD,DDR4,C,"15""",No,375.0
319,2019.0,16,512,SSD,DDR4,C,"14""",No,585.0
320,2018.0,16,1024,SSD,DDR4,C,"15""",No,605.0
321,2016.0,4,256,SSD,DDR4,C,"15""",No,355.0
322,2020.0,8,512,SSD,DDR4,C,"12""",No,405.0
323,2019.0,8,512,SSD,DDR4,C,"16""",No,475.0
324,2017.0,4,512,HDD,DDR4,C,"15""",No,345.0
325,2018.0,8,120,SSD,DDR4,A,"15""",No,525.0
326,2020.0,8,128,SSD,DDR4,C,"16""",No,465.0
327,2018.0,32,512,HDD,DDR4,A,"12""",No,1315.0
328,2016.0,32,256,SSD,DDR4,C,"15""",No,1115.0
329,2021.0,8,1024,SSD,DDR4,A,"12""",No,425.0
330,2020.0,32,128,SSD,DDR4,C,"12""",No,815.0
331,2020.0,4,256,SSD,DDR4,C,"14""",No,335.0
332,2018.0,4,256,HDD,DDR4,C,"15""",No,345.0
333,2021.0,16,128,HDD,DDR4,C,"14""",No,485.0
334,2022.0,8,256,HDD,DDR4,B,"14""",Yes,515.0
335,2024.0,16,256,SSD,DDR4,C,"15""",No,705.0
336,2020.0,4,256,SSD,DDR4,A,"12""",No,345.0
337,2021.0,16,256,SSD,DDR4,C,"15""",No,545.0
338,2017.0,8,512,SSD,DDR4,C,"12""",No,395.0
339,2020.0,8,128,HDD,DDR4,C,"15""",No,485.0
340,2017.0,32,512,SSD,DDR4,C,"15""",No,975.0
341,2019.0,32,256,HDD,DDR4,,"15""",No,895.0
342,2021.0,4,128,SSD,DDR4,A,"12""",No,295.0
343,2021.0,8,2000,SSD,DDR4,A,"14""",No,515.0
344,2024.0,12,256,SSD,DDR4,A,"15""",No,575.0
345,2014.0,8,256,SSD,DDR3,C,"14""",No,375.0
346,2018.0,32,256,SSD,DDR4,A,"14""",No,1135.0
347,2018.0,12,256,SSD,DDR4,C,"14""",No,455.0
348,2020.0,16,512,SSD,DDR4,A,"14""",Yes,775.0
349,2020.0,8,120,HDD,DDR4,A,"15""",No,495.0
350,2019.0,32,256,HDD,DDR4,A,"15""",No,1015.0
351,2017.0,8,256,HDD,DDR4,C,"12""",No,325.0
352,2021.0,8,256,HDD,DDR4,C,"15""",No,495.0
353,2017.0,8,256,SSD,DDR4,C,"12""",No,315.0
354,2022.0,16,1024,HDD,DDR4,B,"14""",No,685.0
355,2022.0,8,256,SSD,DDR4,A,"14""",No,485.0
356,2018.0,16,256,HDD,DDR4,C,"14""",No,585.0
357,2021.0,4,1024,SSD,DDR4,B,"16""",No,455.0
358,2020.0,32,2000,SSD,DDR4,A,"15""",No,1155.0
359,2019.0,16,256,SSD,DDR4,C,"12""",No,465.0
360,2020.0,8,2000,SSD,DDR4,C,"15""",Yes,535.0
361,2018.0,32,1024,SSD,DDR4,C,"14""",No,995.0
362,2022.0,8,120,HDD,DDR4,C,"12""",No,335.0
363,2019.0,16,512,SSD,DDR4,C,"15""",No,705.0
364,2022.0,8,512,SSD,DDR4,C,"15""",No,465.0
365,2018.0,6,256,HDD,DDR4,C,"12""",No,335.0
366,2023.0,8,512,SSD,DDR4,A,"15""",Yes,595.0
367,2017.0,8,256,HDD,DDR4,C,"15""",No,365.0
368,,4,128,SSD,DDR4,C,"15""",No,315.0
369,2020.0,12,512,SSD,DDR4,A,"16""",Yes,805.0
370,2021.0,32,120,HDD,DDR4,B,"15""",Yes,1185.0
371,2020.0,6,256,SSD,DDR4,C,"15""",No,395.0
372,2018.0,32,1024,SSD,DDR4,B,"12""",No,1135.0
373,2019.0,8,1024,SSD,DDR4,C,"15""",No,495.0
374,2018.0,12,256,SSD,DDR4,C,"15""",No,515.0
375,2016.0,8,128,SSD,DDR4,C,"15""",No,435.0
376,2019.0,32,512,SSD,DDR4,C,"14""",No,915.0
377,2019.0,8,120,SSD,DDR4,C,"12""",No,345.0
378,2016.0,8,256,HDD,DDR4,C,"12""",No,445.0
379,2015.0,16,256,HDD,DDR3,C,"14""",No,465.0
380,2019.0,4,256,SSD,DDR4,C,"12""",No,235.0
381,2017.0,32,1024,HDD,DDR4,C,"12""",No,1115.0
382,2018.0,8,128,SSD,DDR4,C,"15""",No,475.0
383,2022.0,8,2000,SSD,DDR4,A,"16""",No,625.0
384,2017.0,16,512,SSD,DDR4,C,"15""",No,695.0
385,2021.0,8,512,SSD,DDR4,A,"16""",No,555.0
386,2020.0,8,256,SSD,DDR4,A,"16""",No,565.0
387,2019.0,8,128,HDD,DDR4,C,"16""",No,455.0
388,2021.0,8,256,SSD,DDR4,C,"15""",No,435.0
389,2022.0,16,512,HDD,DDR4,B,"15""",No,725.0
390,2016.0,4,512,SSD,DDR4,C,"12""",No,265.0
391,2019.0,8,1024,SSD,DDR4,C,"14""",No,505.0
392,2019.0,4,1024,SSD,DDR4,B,"15""",No,395.0
393,2018.0,16,120,HDD,DDR4,C,"14""",No,635.0
394,2018.0,8,128,SSD,DDR4,C,"12""",No,375.0
395,2018.0,4,1024,HDD,DDR4,B,"14""",No,365.0
396,2016.0,8,128,HDD,DDR4,C,"15""",No,395.0
397,2018.0,8,512,SSD,DDR4,C,"14""",No,405.0
398,2019.0,4,256,SSD,DDR4,C,"15""",No,385.0
399,2016.0,32,128,SSD,DDR4,C,"15""",No,1005.0
400,2019.0,8,128,SSD,DDR4,B,"12""",No,435.0
401,2019.0,4,256,SSD,DDR4,B,"15""",No,425.0
402,2017.0,4,512,HDD,DDR4,C,"12""",No,235.0
403,2016.0,8,256,HDD,DDR4,C,"15""",No,435.0
404,2016.0,8,512,HDD,DDR4,C,"14""",No,425.0
405,2019.0,8,512,SSD,DDR4,A,"15""",No,485.0
406,2019.0,16,1024,SSD,DDR4,C,"12""",No,665.0
407,2021.0,32,512,HDD,DDR4,C,"15""",No,895.0
408,2021.0,4,512,SSD,DDR4,B,"15""",No,425.0
409,2015.0,32,256,HDD,DDR3,C,"14""",No,685.0
410,2020.0,8,128,SSD,DDR4,A,"12""",No,385.0
411,2018.0,8,1024,HDD,DDR4,C,"12""",No,395.0
412,2017.0,8,512,SSD,DDR4,C,"15""",No,455.0
413,2019.0,8,256,SSD,DDR4,C,"14""",No,475.0
414,2019.0,8,512,SSD,DDR4,,"12""",No,445.0
415,2018.0,8,512,SSD,DDR4,A,"15""",No,505.0
416,2015.0,16,512,HDD,DDR3,B,"12""",No,385.0
417,2021.0,16,256,SSD,DDR4,C,"14""",No,615.0
418,2020.0,8,256,SSD,DDR4,C,"15""",No,415.0
419,2016.0,8,256,SSD,DDR4,C,"12""",No,305.0
420,2020.0,32,512,SSD,DDR4,A,"12""",Yes,1245.0
421,2020.0,8,256,HDD,DDR4,A,"14""",No,525.0
422,2017.0,8,120,HDD,DDR4,C,"15""",No,515.0
423,2017.0,16,256,HDD,DDR4,B,"15""",No,635.0
424,2018.0,16,128,SSD,DDR4,C,"12""",No,555.0
425,2019.0,4,512,HDD,DDR4,C,"16""",No,385.0
426,2023.0,4,256,SSD,DDR4,A,"12""",No,315.0
427,2021.0,16,128,SSD,DDR4,C,"15""",Yes,805.0
428,2021.0,16,128,HDD,DDR4,B,"12""",No,615.0
429,2019.0,32,1024,SSD,DDR4,C,"15""",No,1025.0
